episode,steps,reward,coins,invalid,self_kill,eps
1,5,-14.897,0,3,1,1.0
2,17,-13.032,0,6,1,1.0
3,6,-14.256,0,4,1,0.999
4,11,-11.854,0,3,1,0.999
5,6,-13.108,0,4,1,0.998
6,9,-13.071,0,4,1,0.998
7,18,-14.124,0,6,1,0.997
8,20,-15.982,0,7,1,0.997
9,26,-16.221,0,10,1,0.996
10,17,-14.982,0,9,1,0.996
11,12,-13.844,0,5,1,0.995
12,25,-15.836,0,15,1,0.995
13,5,-14.63,0,3,1,0.994
14,14,-15.221,0,8,1,0.994
15,12,-15.282,0,5,1,0.993
16,9,-15.022,0,3,1,0.993
17,9,-14.886,0,5,1,0.992
18,21,-15.828,0,13,1,0.992
19,8,-14.893,0,5,1,0.991
20,15,-16.203,0,8,1,0.991
21,8,-14.727,0,4,1,0.991
22,7,-11.545,0,1,1,0.99
23,23,-15.691,0,12,1,0.99
24,21,-14.056,0,14,1,0.989
25,7,-14.357,0,1,1,0.989
26,9,-14.81,0,7,1,0.988
27,16,-15.055,0,7,1,0.988
28,5,-14.995,0,3,1,0.987
29,14,-15.095,0,9,1,0.987
30,11,-12.984,0,6,1,0.986
31,20,-15.615,0,11,1,0.986
32,13,-12.044,0,4,1,0.985
33,13,-15.005,0,6,1,0.985
34,5,-14.919,0,3,1,0.984
35,14,-15.038,0,7,1,0.984
36,6,-14.524,0,3,1,0.983
37,5,-13.272,0,2,1,0.983
38,19,-15.415,0,9,1,0.982
39,10,-14.198,0,4,1,0.982
40,8,-15.585,0,3,1,0.981
41,22,-15.501,0,10,1,0.981
42,40,-15.675,0,11,1,0.981
43,6,-13.381,0,3,1,0.98
44,21,-16.378,0,8,1,0.98
45,10,-14.54,0,7,1,0.979
46,11,-15.306,0,5,1,0.979
47,5,-13.825,0,3,1,0.978
48,16,-14.67,0,8,1,0.978
49,11,-14.929,0,7,1,0.977
50,20,-15.639,0,7,1,0.977
51,5,-13.102,0,2,1,0.976
52,6,-13.63,0,2,1,0.976
53,10,-14.924,0,5,1,0.975
54,9,-14.917,0,5,1,0.975
55,7,-12.943,0,2,1,0.974
56,8,-14.718,0,5,1,0.974
57,20,-16.142,0,11,1,0.973
58,5,-14.051,0,3,1,0.973
59,5,-13.572,0,2,1,0.972
60,5,-14.095,0,3,1,0.972
61,5,-15.392,0,3,1,0.972
62,22,-15.596,0,11,1,0.971
63,7,-12.934,0,2,1,0.971
64,8,-13.854,0,2,1,0.97
65,8,-15.727,0,5,1,0.97
66,12,-13.371,0,6,1,0.969
67,5,-14.419,0,3,1,0.969
68,7,-15.227,0,4,1,0.968
69,14,-13.439,0,6,1,0.968
70,8,-14.837,0,6,1,0.967
71,19,-14.697,0,9,1,0.967
72,11,-13.29,0,4,1,0.966
73,7,-14.36,0,5,1,0.966
74,7,-14.287,0,4,1,0.965
75,21,-14.427,0,12,1,0.965
76,28,-14.447,0,14,1,0.964
77,7,-11.431,0,2,1,0.964
78,10,-12.994,0,3,1,0.963
79,9,-13.462,0,6,1,0.963
80,5,-14.917,0,2,1,0.962
81,5,-13.845,0,1,1,0.962
82,7,-15.138,0,4,1,0.962
83,7,-14.214,0,5,1,0.961
84,31,-15.27,0,10,1,0.961
85,17,-15.179,0,7,1,0.96
86,5,-14.934,0,3,1,0.96
87,27,-16.19,0,14,1,0.959
88,8,-13.715,0,5,1,0.959
89,5,-13.46,0,2,1,0.958
90,9,-15.025,0,4,1,0.958
91,32,-16.43,0,17,1,0.957
92,11,-15.017,0,6,1,0.957
93,5,-13.675,0,3,1,0.956
94,10,-14.81,0,6,1,0.956
95,22,-15.634,0,12,1,0.955
96,14,-14.002,0,6,1,0.955
97,6,-13.945,0,4,1,0.954
98,17,-13.589,0,8,1,0.954
99,7,-14.748,0,4,1,0.953
100,7,-11.93,0,3,1,0.953
