episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
1,400,17.365,9,29,0,0,0,1,1.0,0.0001,400
2,400,22.862,9,51,0,0,0,1,0.999,0.0001,800
3,400,27.219,13,62,0,0,0,1,0.999,0.0001,1200
4,400,19.621,9,52,0,0,0,1,0.998,0.0001,1600
5,400,24.16,9,35,0,0,0,1,0.997,0.0001,2000
6,400,26.147,12,39,0,0,0,1,0.997,0.0001,2400
7,400,19.422,14,45,0,0,0,1,0.996,0.0001,2800
8,400,23.919,11,40,0,0,0,1,0.995,0.0001,3200
9,400,27.1,14,46,0,0,0,1,0.995,0.0001,3600
10,400,29.858,16,47,0,0,0,1,0.994,0.0001,4000
11,400,25.081,13,45,0,0,0,1,0.994,0.0001,4400
12,400,25.088,14,53,0,0,0,1,0.993,0.0001,4800
13,400,19.729,9,34,0,0,0,1,0.992,0.0001,5200
14,400,20.014,11,39,0,0,0,1,0.992,0.0001,5600
15,400,32.286,17,49,0,0,0,1,0.991,0.0001,6000
16,400,30.214,15,58,0,0,0,1,0.99,0.0001,6400
17,400,26.429,13,56,0,0,0,1,0.99,0.0001,6800
18,400,16.982,4,38,0,0,0,1,0.989,0.0001,7200
19,400,17.589,9,44,0,0,0,1,0.988,0.0001,7600
20,400,21.653,12,40,0,0,0,1,0.988,0.0001,8000
21,400,15.861,9,44,0,0,0,1,0.987,0.0001,8400
22,400,25.599,13,40,0,0,0,1,0.986,0.0001,8800
23,400,20.568,8,35,0,0,0,1,0.986,0.0001,9200
24,400,32.434,20,41,0,0,0,1,0.985,0.0001,9600
25,400,22.954,9,37,0,0,0,1,0.984,0.0001,10000
26,400,26.398,13,53,0,0,0,1,0.984,0.0001,10000
27,400,36.016,17,69,0,0,0,1,0.983,0.0001,10000
28,400,28.278,17,42,0,0,0,1,0.983,0.0001,10000
29,400,18.354,9,39,0,0,0,1,0.982,0.0001,10000
30,400,21.641,9,42,0,0,0,1,0.981,0.0001,10000
31,400,33.826,20,55,0,0,0,1,0.981,0.0001,10000
32,400,29.826,14,56,0,0,0,1,0.98,0.0001,10000
33,400,30.526,16,47,0,0,0,1,0.979,0.0001,10000
34,400,5.467,3,31,0,0,0,1,0.979,0.0001,10000
35,400,11.738,4,21,0,0,0,1,0.978,0.0001,10000
36,400,19.463,11,47,0,0,0,1,0.977,0.0001,10000
37,400,27.837,15,48,0,0,0,1,0.977,0.0001,10000
38,400,30.915,15,67,0,0,0,1,0.976,0.0001,10000
39,400,21.456,11,48,0,0,0,1,0.975,0.0001,10000
40,400,31.802,18,48,0,0,0,1,0.975,0.0001,10000
41,400,29.122,13,54,0,0,0,1,0.974,0.0001,10000
42,400,31.4,18,47,0,0,0,1,0.973,0.0001,10000
43,400,16.989,9,44,0,0,0,1,0.973,0.0001,10000
44,400,30.048,18,55,0,0,0,1,0.972,0.0001,10000
45,400,28.294,12,61,0,0,0,1,0.972,0.0001,10000
46,400,25.806,14,45,0,0,0,1,0.971,0.0001,10000
47,400,19.494,9,40,0,0,0,1,0.97,0.0001,10000
48,400,37.296,15,75,0,0,0,1,0.97,0.0001,10000
49,400,24.062,11,66,0,0,0,1,0.969,0.0001,10000
50,400,31.652,17,54,0,0,0,1,0.968,0.0001,10000
51,400,31.426,14,58,0,0,0,1,0.968,0.0001,10000
52,400,27.486,12,37,0,0,0,1,0.967,0.0001,10000
53,400,18.061,9,42,0,0,0,1,0.966,0.0001,10000
54,400,20.462,10,38,0,0,0,1,0.966,0.0001,10000
55,400,17.527,7,31,0,0,0,1,0.965,0.0001,10000
56,400,29.195,12,58,0,0,0,1,0.964,0.0001,10000
57,400,27.179,14,68,0,0,0,1,0.964,0.0001,10000
58,400,26.881,13,46,0,0,0,1,0.963,0.0001,10000
59,400,24.244,13,57,0,0,0,1,0.962,0.0001,10000
60,400,28.868,16,50,0,0,0,1,0.962,0.0001,10000
61,400,22.541,8,36,0,0,0,1,0.961,0.0001,10000
62,400,24.621,11,46,0,0,0,1,0.961,0.0001,10000
63,400,27.525,11,47,0,0,0,1,0.96,0.0001,10000
64,400,18.944,11,37,0,0,0,1,0.959,0.0001,10000
65,400,26.892,12,36,0,0,0,1,0.959,0.0001,10000
66,400,22.678,6,46,0,0,0,1,0.958,0.0001,10000
67,400,21.286,12,37,0,0,0,1,0.957,0.0001,10000
68,400,27.521,15,63,0,0,0,1,0.957,0.0001,10000
69,400,14.04,5,37,0,0,0,1,0.956,0.0001,10000
70,400,30.897,17,67,0,0,0,1,0.955,0.0001,10000
71,400,22.169,14,45,0,0,0,1,0.955,0.0001,10000
72,400,27.526,15,44,0,0,0,1,0.954,0.0001,10000
73,400,9.566,4,28,0,0,0,1,0.953,0.0001,10000
74,400,16.603,10,38,0,0,0,1,0.953,0.0001,10000
75,400,23.683,12,61,0,0,0,1,0.952,0.0001,10000
76,400,23.332,12,42,0,0,0,1,0.952,0.0001,10000
77,400,29.746,15,50,0,0,0,1,0.951,0.0001,10000
78,400,34.627,16,67,0,0,0,1,0.95,0.0001,10000
79,400,29.619,12,57,0,0,0,1,0.95,0.0001,10000
80,400,30.175,14,50,0,0,0,1,0.949,0.0001,10000
81,400,40.798,21,73,0,0,0,1,0.948,0.0001,10000
82,400,27.126,16,61,0,0,0,1,0.948,0.0001,10000
83,400,32.831,16,57,0,0,0,1,0.947,0.0001,10000
84,400,25.37,13,50,0,0,0,1,0.946,0.0001,10000
85,400,19.439,10,31,0,0,0,1,0.946,0.0001,10000
86,400,25.999,13,40,0,0,0,1,0.945,0.0001,10000
87,400,30.854,14,65,0,0,0,1,0.944,0.0001,10000
88,400,32.266,16,50,0,0,0,1,0.944,0.0001,10000
89,400,14.952,5,34,0,0,0,1,0.943,0.0001,10000
90,400,35.445,19,62,0,0,0,1,0.942,0.0001,10000
91,400,27.869,12,44,0,0,0,1,0.942,0.0001,10000
92,400,26.353,12,49,0,0,0,1,0.941,0.0001,10000
93,400,19.304,11,33,0,0,0,1,0.941,0.0001,10000
94,400,22.84,7,44,0,0,0,1,0.94,0.0001,10000
95,400,21.176,9,38,0,0,0,1,0.939,0.0001,10000
96,400,41.166,21,74,0,0,0,1,0.939,0.0001,10000
97,400,22.379,6,30,0,0,0,1,0.938,0.0001,10000
98,400,35.747,19,68,0,0,0,1,0.937,0.0001,10000
99,400,22.864,11,54,0,0,0,1,0.937,0.0001,10000
100,400,33.798,15,44,0,0,0,1,0.936,0.0001,10000
101,400,30.919,13,52,0,0,0,1,0.935,0.0001,10000
102,400,27.328,12,37,0,0,0,1,0.935,0.0001,10000
103,400,16.737,10,34,0,0,0,1,0.934,0.0001,10000
104,400,26.389,9,46,0,0,0,1,0.933,0.0001,10000
105,400,17.717,10,38,0,0,0,1,0.933,0.0001,10000
106,400,31.482,16,61,0,0,0,1,0.932,0.0001,10000
107,400,27.448,13,40,0,0,0,1,0.931,0.0001,10000
108,400,25.026,11,47,0,0,0,1,0.931,0.0001,10000
109,400,29.637,15,58,0,0,0,1,0.93,0.0001,10000
110,400,30.831,15,51,0,0,0,1,0.93,0.0001,10000
111,400,32.112,17,57,0,0,0,1,0.929,0.0001,10000
112,400,27.218,9,52,0,0,0,1,0.928,0.0001,10000
113,400,33.371,15,61,0,0,0,1,0.928,0.0001,10000
114,400,23.192,12,39,0,0,0,1,0.927,0.0001,10000
115,400,25.529,12,59,0,0,0,1,0.926,0.0001,10000
116,400,29.24,16,45,0,0,0,1,0.926,0.0001,10000
117,400,19.588,10,38,0,0,0,1,0.925,0.0001,10000
118,400,36.926,17,61,0,0,0,1,0.924,0.0001,10000
119,400,27.134,11,59,0,0,0,1,0.924,0.0001,10000
120,400,25.317,11,50,0,0,0,1,0.923,0.0001,10000
121,400,28.17,12,56,0,0,0,1,0.922,0.0001,10000
122,400,21.168,10,44,0,0,0,1,0.922,0.0001,10000
123,400,28.766,14,48,0,0,0,1,0.921,0.0001,10000
124,400,30.597,16,56,0,0,0,1,0.92,0.0001,10000
125,400,29.345,13,47,0,0,0,1,0.92,0.0001,10000
126,400,39.678,23,70,0,0,0,1,0.919,0.0001,10000
127,400,31.258,16,55,0,0,0,1,0.919,0.0001,10000
128,400,25.021,13,39,0,0,0,1,0.918,0.0001,10000
129,400,35.946,18,59,0,0,0,1,0.917,0.0001,10000
130,400,38.291,17,77,0,0,0,1,0.917,0.0001,10000
131,400,27.227,14,59,0,0,0,1,0.916,0.0001,10000
132,400,37.36,17,62,0,0,0,1,0.915,0.0001,10000
133,400,32.324,15,48,0,0,0,1,0.915,0.0001,10000
134,400,25.011,14,39,0,0,0,1,0.914,0.0001,10000
135,400,39.939,22,65,0,0,0,1,0.913,0.0001,10000
136,400,33.388,18,55,0,0,0,1,0.913,0.0001,10000
137,400,29.516,18,71,0,0,0,1,0.912,0.0001,10000
138,400,36.467,16,55,0,0,0,1,0.911,0.0001,10000
139,400,45.378,21,63,0,0,0,1,0.911,0.0001,10000
140,400,27.257,9,55,0,0,0,1,0.91,0.0001,10000
141,400,35.263,20,67,0,0,0,1,0.909,0.0001,10000
142,400,20.473,10,44,0,0,0,1,0.909,0.0001,10000
143,400,36.856,16,60,0,0,0,1,0.908,0.0001,10000
144,400,26.144,13,50,0,0,0,1,0.908,0.0001,10000
145,400,35.66,18,70,0,0,0,1,0.907,0.0001,10000
146,400,30.982,15,50,0,0,0,1,0.906,0.0001,10000
147,400,34.141,15,62,0,0,0,1,0.906,0.0001,10000
148,400,22.47,10,40,0,0,0,1,0.905,0.0001,10000
149,400,15.481,7,42,0,0,0,1,0.904,0.0001,10000
150,400,42.244,25,67,0,0,0,1,0.904,0.0001,10000
151,400,31.942,17,45,0,0,0,1,0.903,0.0001,10000
