episode,steps,reward,coins,invalid,self_kill,eps
1,31,-13.961,0,9,1,1.0
2,7,-13.7,0,4,1,0.999
3,5,-13.27,0,2,1,0.999
4,8,-13.485,0,4,1,0.998
5,6,-14.149,0,2,1,0.997
6,9,-14.197,0,5,1,0.997
7,6,-12.909,0,3,1,0.996
8,19,-13.322,0,10,1,0.995
9,8,-13.248,0,6,1,0.995
10,8,-13.168,0,5,1,0.994
11,6,-14.539,0,4,1,0.994
12,5,-13.774,0,3,1,0.993
13,25,-14.617,0,11,1,0.992
14,9,-12.724,0,4,1,0.992
15,9,-13.109,0,4,1,0.991
16,6,-13.515,0,4,1,0.99
17,22,-14.034,0,12,1,0.99
18,16,-14.596,0,8,1,0.989
19,10,-13.993,0,5,1,0.988
20,20,-14.492,0,10,1,0.988
21,5,-13.951,0,3,1,0.987
22,17,-13.395,0,10,1,0.986
23,9,-13.01,0,5,1,0.986
24,11,-13.14,0,4,1,0.985
25,6,-13.957,0,1,1,0.984
26,16,-12.949,0,6,1,0.984
27,11,-13.671,0,4,1,0.983
28,11,-13.809,0,6,1,0.983
29,7,-13.132,0,5,1,0.982
30,10,-13.384,0,5,1,0.981
31,9,-13.48,0,4,1,0.981
32,15,-12.982,0,7,1,0.98
33,7,-13.103,0,4,1,0.979
34,8,-13.117,0,5,1,0.979
35,26,-13.733,0,12,1,0.978
36,18,-13.835,0,10,1,0.977
37,8,-13.016,0,5,1,0.977
38,7,-13.053,0,4,1,0.976
39,9,-14.472,0,2,1,0.975
40,22,-13.93,0,10,1,0.975
41,5,-14.002,0,3,1,0.974
42,10,-14.645,0,5,1,0.973
43,7,-13.053,0,4,1,0.973
44,6,-13.509,0,4,1,0.972
45,12,-12.826,0,7,1,0.972
46,13,-13.928,0,6,1,0.971
47,11,-13.658,0,6,1,0.97
48,23,-14.121,0,12,1,0.97
49,18,-14.175,0,7,1,0.969
50,20,-14.563,0,11,1,0.968
51,9,-13.121,0,4,1,0.968
52,6,-13.117,0,4,1,0.967
53,29,-14.204,0,13,1,0.966
54,8,-13.137,0,4,1,0.966
55,7,-13.082,0,4,1,0.965
56,28,-14.044,0,10,1,0.964
57,15,-14.078,0,9,1,0.964
58,7,-12.374,0,3,1,0.963
59,12,-13.728,0,9,1,0.962
60,7,-13.949,0,4,1,0.962
61,7,-13.182,0,5,1,0.961
62,5,-13.272,0,2,1,0.961
63,10,-13.513,0,2,1,0.96
64,20,-13.832,0,10,1,0.959
65,5,-13.271,0,2,1,0.959
66,7,-12.952,0,3,1,0.958
67,11,-12.705,0,4,1,0.957
68,8,-13.036,0,3,1,0.957
69,5,-13.814,0,2,1,0.956
70,16,-12.604,0,8,1,0.955
71,23,-13.877,0,10,1,0.955
72,25,-14.166,0,14,1,0.954
73,14,-13.913,0,6,1,0.953
74,6,-12.91,0,2,1,0.953
75,6,-13.015,0,3,1,0.952
76,6,-13.761,0,4,1,0.952
77,6,-13.189,0,5,1,0.951
78,13,-13.529,0,6,1,0.95
79,10,-14.168,0,4,1,0.95
80,7,-12.972,0,2,1,0.949
81,16,-13.802,0,6,1,0.948
82,5,-13.814,0,2,1,0.948
83,6,-12.787,0,3,1,0.947
84,7,-13.319,0,3,1,0.946
85,13,-13.699,0,5,1,0.946
86,21,-13.181,0,8,1,0.945
87,6,-13.539,0,5,1,0.944
88,9,-12.992,0,3,1,0.944
89,20,-14.664,0,7,1,0.943
90,12,-13.421,0,6,1,0.942
91,5,-12.85,0,3,1,0.942
92,5,-14.302,0,3,1,0.941
93,21,-13.893,0,9,1,0.941
94,8,-13.297,0,6,1,0.94
95,19,-14.068,0,12,1,0.939
96,14,-14.451,0,9,1,0.939
97,7,-14.043,0,3,1,0.938
98,7,-13.032,0,5,1,0.937
99,11,-13.997,0,6,1,0.937
100,5,-13.122,0,2,1,0.936
101,5,-12.794,0,3,1,0.935
102,8,-9.96,0,3,1,0.935
103,6,-13.979,0,3,1,0.934
104,7,-9.611,0,1,1,0.933
105,19,-14.229,0,8,1,0.933
106,5,-12.722,0,2,1,0.932
107,9,-13.51,0,5,1,0.931
108,5,-13.364,0,2,1,0.931
109,8,-9.806,0,3,1,0.93
110,7,-14.149,0,4,1,0.93
111,9,-13.062,0,2,1,0.929
112,7,-12.525,0,3,1,0.928
113,9,-13.358,0,6,1,0.928
114,6,-13.555,0,2,1,0.927
115,15,-12.661,0,7,1,0.926
116,11,-13.711,0,6,1,0.926
117,39,-13.685,0,20,1,0.925
118,5,-13.95,0,3,1,0.924
119,13,-12.802,0,5,1,0.924
120,5,-14.022,0,2,1,0.923
121,10,-13.516,0,4,1,0.922
122,9,-13.133,0,5,1,0.922
123,6,-13.205,0,2,1,0.921
124,22,-13.767,0,7,1,0.92
125,25,-13.341,0,11,1,0.92
126,8,-13.547,0,2,1,0.919
127,18,-12.997,0,7,1,0.919
128,10,-14.164,0,4,1,0.918
129,5,-13.121,0,2,1,0.917
130,7,-12.853,0,3,1,0.917
131,21,-14.069,0,11,1,0.916
132,17,-14.007,0,8,1,0.915
133,8,-12.537,0,5,1,0.915
134,7,-13.92,0,3,1,0.914
135,7,-13.447,0,2,1,0.913
136,9,-12.605,0,5,1,0.913
137,16,-13.384,0,5,1,0.912
138,14,-13.701,0,4,1,0.911
139,11,-12.755,0,6,1,0.911
140,16,-14.13,0,6,1,0.91
141,12,-13.225,0,7,1,0.909
142,5,-13.451,0,3,1,0.909
143,5,-13.901,0,3,1,0.908
144,8,-13.495,0,4,1,0.908
145,6,-12.377,0,1,1,0.907
146,14,-12.825,0,7,1,0.906
147,6,-13.366,0,4,1,0.906
148,11,-13.74,0,5,1,0.905
149,5,-13.852,0,3,1,0.904
150,10,-12.972,0,6,1,0.904
151,14,-13.752,0,8,1,0.903
152,16,-14.573,0,9,1,0.902
153,10,-9.837,0,3,1,0.902
154,14,-13.6,0,9,1,0.901
155,12,-13.234,0,2,1,0.9
156,5,-13.764,0,2,1,0.9
157,37,-12.759,1,15,1,0.899
158,8,-12.557,0,3,1,0.898
159,6,-13.799,0,1,1,0.898
160,10,-12.592,0,5,1,0.897
161,19,-15.457,0,10,1,0.897
162,13,-13.402,0,7,1,0.896
163,6,-12.968,0,3,1,0.895
164,6,-13.409,0,3,1,0.895
165,7,-12.347,0,2,1,0.894
166,6,-12.492,0,3,1,0.893
167,6,-14.114,0,4,1,0.893
168,29,-13.45,0,12,1,0.892
169,12,-12.89,0,6,1,0.891
170,5,-13.372,0,2,1,0.891
171,24,-13.521,0,11,1,0.89
172,20,-14.304,0,10,1,0.889
173,10,-13.585,0,3,1,0.889
174,6,-12.539,0,3,1,0.888
175,5,-14.372,0,2,1,0.887
176,7,-13.032,0,4,1,0.887
177,15,-13.589,0,9,1,0.886
178,9,-11.949,0,3,1,0.886
179,5,-13.675,0,3,1,0.885
180,5,-13.345,0,2,1,0.884
181,36,-12.928,0,14,1,0.884
182,5,-12.95,0,3,1,0.883
183,13,-14.257,0,7,1,0.882
184,6,-12.867,0,4,1,0.882
185,5,-13.772,0,2,1,0.881
186,15,-14.438,0,7,1,0.88
187,5,-13.902,0,3,1,0.88
188,5,-13.321,0,2,1,0.879
189,6,-13.486,0,3,1,0.878
190,11,-13.442,0,2,1,0.878
191,6,-13.416,0,4,1,0.877
192,16,-13.348,0,8,1,0.876
193,18,-13.575,0,8,1,0.876
194,15,-14.037,0,9,1,0.875
195,20,-13.635,0,9,1,0.875
196,6,-14.066,0,4,1,0.874
197,6,-13.659,0,3,1,0.873
198,6,-14.285,0,3,1,0.873
199,22,-13.569,0,10,1,0.872
200,5,-13.925,0,3,1,0.871
201,5,-13.15,0,3,1,0.871
202,13,-10.198,0,5,1,0.87
203,6,-13.008,0,2,1,0.869
204,11,-12.775,0,5,1,0.869
205,6,-13.256,0,2,1,0.868
206,12,-12.69,0,6,1,0.867
207,5,-13.549,0,3,1,0.867
208,21,-13.736,0,8,1,0.866
209,11,-9.715,0,3,1,0.865
210,6,-14.109,0,4,1,0.865
211,11,-12.735,0,5,1,0.864
212,6,-14.029,0,2,1,0.864
213,5,-13.345,0,2,1,0.863
214,8,-14.045,0,6,1,0.862
215,5,-13.301,0,3,1,0.862
216,17,-14.216,0,4,1,0.861
217,11,-12.252,0,5,1,0.86
218,9,-12.495,0,3,1,0.86
219,6,-13.067,0,4,1,0.859
220,10,-13.75,0,4,1,0.858
221,5,-13.9,0,2,1,0.858
222,14,-14.474,0,8,1,0.857
223,5,-13.141,0,1,1,0.856
224,5,-13.975,0,3,1,0.856
225,8,-13.267,0,6,1,0.855
226,12,-14.389,0,6,1,0.855
227,10,-12.67,0,6,1,0.854
228,12,-13.391,0,5,1,0.853
229,6,-13.929,0,1,1,0.853
230,5,-13.19,0,1,1,0.852
231,11,-13.23,0,5,1,0.851
232,26,-13.382,0,10,1,0.851
233,5,-13.271,0,2,1,0.85
234,21,-13.162,0,10,1,0.849
235,11,-12.436,0,2,1,0.849
236,5,-13.302,0,3,1,0.848
237,6,-13.249,0,1,1,0.847
238,6,-12.442,0,3,1,0.847
239,7,-13.443,0,3,1,0.846
240,36,-14.398,0,12,1,0.845
