episode,steps,reward,coins,invalid,self_kill,eps
168,5,-12.0,1,2,1,0.67
169,32,-11.4,3,14,1,0.67
170,39,-9.7,5,9,1,0.67
171,41,-10.2,5,14,1,0.66
172,42,-8.3,1,15,0,0.66
173,29,-6.9,2,4,0,0.66
174,52,-14.7,3,18,1,0.66
175,28,-14.2,1,10,1,0.66
176,10,-12.3,1,4,1,0.65
177,26,-3.2,3,8,0,0.65
178,7,-11.2,1,1,1,0.65
179,13,-9.5,4,3,1,0.65
180,5,-13.3,0,1,1,0.65
181,38,-10.4,5,11,1,0.64
182,29,-7.4,2,11,0,0.64
183,7,-12.1,1,1,1,0.64
184,12,-12.7,0,4,1,0.64
185,13,-5.6,4,0,1,0.64
186,5,-12.4,1,2,1,0.63
187,20,-8.4,3,3,1,0.63
188,70,-15.4,5,25,1,0.63
189,32,-12.7,2,8,1,0.63
190,45,-6.9,4,11,0,0.63
191,24,-10.0,5,9,1,0.62
192,68,-16.1,3,18,1,0.62
193,8,-10.7,0,3,1,0.62
194,15,-8.8,2,3,1,0.62
195,52,-12.3,3,20,1,0.62
196,17,-11.6,2,6,1,0.61
197,26,-13.0,1,8,1,0.61
198,26,-2.2,4,6,0,0.61
199,37,-6.2,4,11,0,0.61
200,66,-11.1,3,25,0,0.61
201,20,-12.0,2,9,1,0.6
202,23,-11.8,2,7,1,0.6
203,8,-12.9,0,4,1,0.6
204,5,-12.6,0,3,1,0.6
205,5,-11.3,1,1,1,0.6
206,15,-8.7,4,4,1,0.59
207,9,-9.9,3,4,1,0.59
208,39,-3.6,5,14,0,0.59
209,46,-11.8,5,10,1,0.59
210,9,-10.9,2,1,1,0.59
211,11,-12.6,1,5,1,0.58
212,17,-12.6,1,3,1,0.58
213,15,-9.5,4,7,1,0.58
214,7,-12.0,1,3,1,0.58
215,6,-10.1,2,1,1,0.58
216,17,-6.4,5,1,1,0.57
217,9,-9.3,1,1,1,0.57
218,21,-7.4,1,8,0,0.57
219,15,-12.8,1,6,1,0.57
220,39,-11.6,4,11,1,0.57
221,5,-12.7,0,1,1,0.56
222,11,-12.9,1,4,1,0.56
223,8,-12.5,0,3,1,0.56
224,31,-12.8,3,13,1,0.56
225,33,-11.2,2,13,1,0.56
226,34,-13.3,3,9,1,0.55
227,36,-6.0,4,12,0,0.55
228,15,-11.0,3,5,1,0.55
229,29,-13.4,2,13,1,0.55
230,21,-12.6,2,5,1,0.55
231,39,-13.2,2,9,1,0.54
232,41,-8.6,7,13,1,0.54
233,20,-9.5,4,6,1,0.54
234,50,-10.3,2,20,0,0.54
235,5,-11.8,1,2,1,0.54
236,31,-4.7,5,7,0,0.53
237,93,-20.0,1,34,1,0.53
238,33,-0.9,6,8,0,0.53
239,45,-15.0,2,16,1,0.53
240,12,-12.2,1,7,1,0.53
241,19,-14.0,1,11,1,0.52
242,21,-11.5,3,7,1,0.52
243,5,-10.9,1,1,1,0.52
244,21,-10.8,3,4,1,0.52
245,68,-14.9,4,22,1,0.52
246,82,-9.9,6,30,0,0.51
247,29,-6.8,5,10,1,0.51
248,51,-13.7,4,21,1,0.51
249,27,-9.5,3,11,1,0.51
250,28,-2.4,4,8,0,0.51
251,19,-12.6,2,5,1,0.51
252,63,-11.3,5,18,1,0.5
253,49,-9.7,1,19,0,0.5
254,11,-6.8,3,2,1,0.5
255,9,-11.2,1,1,1,0.5
256,7,-12.7,0,2,1,0.5
257,28,-9.8,5,9,1,0.49
258,33,-3.0,7,10,0,0.49
259,20,-12.9,1,9,1,0.49
260,25,-5.2,7,4,1,0.49
261,26,-13.7,0,8,1,0.49
262,45,-6.4,6,8,1,0.48
