episode,steps,reward,coins,invalid,self_kill,eps
168,25,-11.243,2,8,1,0.669
169,11,-13.563,0,6,1,0.667
170,6,-11.406,1,0,1,0.665
171,47,-15.027,1,10,1,0.663
172,8,-11.696,1,2,1,0.661
173,22,-13.569,0,8,1,0.659
174,29,-12.013,3,9,1,0.657
175,5,-10.936,2,2,1,0.655
176,28,-13.174,1,5,1,0.653
177,10,-12.581,1,5,1,0.652
178,9,-13.433,0,4,1,0.65
179,6,-13.103,0,3,1,0.648
180,12,-12.951,1,6,1,0.646
181,30,-14.308,1,11,1,0.644
182,19,-11.078,3,6,1,0.642
183,14,-12.801,1,4,1,0.64
184,12,-12.683,1,4,1,0.638
185,18,-12.637,1,5,1,0.636
186,38,-13.118,3,16,1,0.634
187,5,-11.491,1,2,1,0.632
188,9,-11.298,2,3,1,0.63
189,18,-8.898,4,2,1,0.628
190,29,-13.734,1,17,1,0.626
191,9,-12.233,1,3,1,0.624
192,18,-13.256,1,8,1,0.622
193,12,-12.683,1,2,1,0.62
194,10,-12.506,1,3,1,0.618
195,25,-13.493,1,4,1,0.616
196,16,-12.813,1,10,1,0.614
197,13,-12.148,1,6,1,0.612
198,6,-13.023,0,2,1,0.61
199,9,-13.376,0,6,1,0.608
200,27,-13.706,1,6,1,0.606
201,26,-9.056,2,11,1,0.604
202,21,-13.406,1,5,1,0.602
203,73,-13.0,5,31,1,0.6
204,13,-13.886,0,7,1,0.598
205,18,-10.537,4,10,1,0.596
206,5,-12.956,0,2,1,0.594
207,12,-13.213,0,6,1,0.592
208,14,-14.171,0,9,1,0.59
209,14,-12.136,0,4,1,0.588
210,7,-12.451,1,5,1,0.586
211,48,-9.832,7,21,1,0.584
212,28,-11.597,3,10,1,0.582
213,9,-9.518,3,0,1,0.58
214,13,-11.491,2,2,1,0.578
215,10,-13.371,0,3,1,0.576
216,26,-14.613,0,7,1,0.574
217,24,-11.701,3,9,1,0.572
218,16,-13.203,1,9,1,0.57
219,12,-13.491,0,1,1,0.568
220,19,-10.173,1,7,1,0.566
221,21,-12.966,1,7,1,0.564
222,7,-13.213,0,2,1,0.562
223,35,-9.321,6,8,1,0.56
224,6,-13.191,0,4,1,0.558
225,11,-12.436,1,3,1,0.556
226,10,-12.866,1,6,1,0.554
227,38,-15.296,1,21,1,0.553
228,14,-13.583,0,3,1,0.551
229,5,-13.003,0,2,1,0.549
230,8,-12.628,0,3,1,0.547
231,16,-11.343,1,3,1,0.545
232,25,-13.561,1,6,1,0.543
233,13,-12.263,1,3,1,0.541
234,13,-12.733,1,4,1,0.539
235,18,-13.356,1,9,1,0.537
236,17,-14.243,0,9,1,0.535
237,6,-11.726,1,4,1,0.533
238,10,-13.538,0,3,1,0.531
239,8,-12.406,1,4,1,0.529
240,12,-13.226,0,1,1,0.527
241,41,-10.706,5,12,1,0.525
242,17,-10.346,3,5,1,0.523
243,33,-10.961,4,11,1,0.521
244,14,-12.356,1,7,1,0.519
245,18,-13.286,1,8,1,0.517
246,38,-13.776,2,9,1,0.515
247,10,-12.211,1,2,1,0.513
248,13,-9.323,2,5,1,0.511
249,13,-10.363,0,4,1,0.509
250,40,-13.053,2,18,1,0.507
251,17,-14.256,0,9,1,0.505
252,14,-10.323,0,1,1,0.503
253,8,-12.063,1,3,1,0.501
254,16,-9.879,4,3,1,0.499
255,39,-12.778,3,18,1,0.497
256,10,-11.326,2,1,1,0.495
257,35,-10.553,5,6,1,0.493
258,5,-12.861,0,2,1,0.491
259,8,-10.581,2,2,1,0.489
260,14,-13.378,0,3,1,0.487
261,40,-12.739,2,6,1,0.485
262,9,-11.046,2,6,1,0.483
263,27,-12.296,2,5,1,0.481
264,9,-12.451,1,5,1,0.479
265,5,-12.126,1,3,1,0.477
266,28,-11.331,3,2,1,0.475
267,20,-11.333,1,9,1,0.473
268,18,-11.678,0,6,1,0.471
269,12,-13.763,0,6,1,0.469
270,12,-9.673,3,3,1,0.467
271,46,-8.524,6,8,1,0.465
272,7,-12.251,1,4,1,0.463
273,8,-12.873,0,5,1,0.461
274,16,-12.162,1,2,1,0.459
275,8,-11.736,0,0,1,0.457
276,7,-10.941,2,1,1,0.455
277,10,-13.548,0,6,1,0.454
278,59,-13.226,4,8,1,0.452
279,53,-14.269,4,29,1,0.45
280,18,-13.441,1,10,1,0.448
281,8,-11.933,0,2,1,0.446
282,9,-8.431,1,0,1,0.444
283,17,-7.853,5,1,1,0.442
284,27,-12.184,2,9,1,0.44
285,57,-8.899,7,14,1,0.438
286,27,-15.568,0,15,1,0.436
287,16,-11.372,2,3,1,0.434
288,22,-8.854,4,9,1,0.432
289,29,-14.121,1,18,1,0.43
290,10,-13.203,0,1,1,0.428
