episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
99,7,-14.748,0,1,4,1,0,0,0.953,0.0192,1206
100,7,-11.93,0,6,3,1,0,0,0.953,0.0192,1213
101,27,-13.444,0,4,11,1,0,0,0.953,0.0192,1240
102,16,-15.197,0,1,7,1,0,0,0.952,0.0192,1256
103,9,-14.04,0,3,3,1,0,0,0.952,0.0192,1265
104,7,-13.723,0,3,5,1,0,0,0.951,0.0192,1272
105,21,-14.969,0,3,7,1,0,0,0.951,0.0192,1293
106,5,-15.065,0,3,3,1,0,0,0.95,0.0192,1298
107,5,-15.416,0,3,2,1,0,0,0.95,0.0192,1303
108,6,-13.575,0,3,3,1,0,0,0.949,0.0191,1309
109,6,-15.454,0,4,3,1,0,0,0.949,0.0191,1315
110,5,-14.867,0,3,2,1,0,0,0.948,0.0191,1320
111,5,-14.989,0,2,2,1,0,0,0.948,0.0191,1325
112,6,-14.427,0,3,2,1,0,0,0.947,0.0191,1331
113,6,-13.126,0,2,3,1,0,0,0.947,0.0191,1337
114,7,-12.612,0,2,3,1,0,0,0.946,0.0191,1344
115,7,-14.622,0,2,3,1,0,0,0.946,0.0191,1351
116,8,-14.649,0,1,3,1,0,0,0.945,0.0191,1359
117,8,-12.064,0,2,4,1,0,0,0.945,0.0191,1367
118,21,-15.304,0,3,10,1,0,0,0.944,0.0191,1388
119,17,-13.492,0,4,4,1,0,0,0.944,0.0191,1405
120,5,-14.62,0,2,4,1,0,0,0.943,0.019,1410
121,6,-13.644,0,4,4,1,0,0,0.943,0.019,1416
122,7,-14.001,0,3,4,1,0,0,0.943,0.019,1423
123,5,-13.452,0,3,3,1,0,0,0.942,0.019,1428
124,10,-14.167,0,2,3,1,0,0,0.942,0.019,1438
125,5,-15.551,0,2,3,1,0,0,0.941,0.019,1443
126,6,-12.402,0,3,2,1,0,0,0.941,0.019,1449
127,5,-13.764,0,2,1,1,0,0,0.94,0.019,1454
128,17,-15.06,0,3,8,1,0,0,0.94,0.019,1471
129,6,-14.699,0,3,4,1,0,0,0.939,0.019,1477
130,13,-14.704,0,5,7,1,0,0,0.939,0.019,1490
131,5,-14.11,0,4,4,1,0,0,0.938,0.019,1495
132,8,-14.131,0,3,4,1,0,0,0.938,0.019,1503
133,11,-14.78,0,3,4,1,0,0,0.937,0.0189,1514
134,11,-15.2,0,1,6,1,0,0,0.937,0.0189,1525
135,5,-14.997,0,3,3,1,0,0,0.936,0.0189,1530
136,9,-14.781,0,3,6,1,0,0,0.936,0.0189,1539
137,14,-14.256,0,2,4,1,0,0,0.935,0.0189,1553
138,8,-13.017,0,3,4,1,0,0,0.935,0.0189,1561
139,21,-14.861,0,3,11,1,0,0,0.934,0.0189,1582
140,6,-15.139,0,2,4,1,0,0,0.934,0.0189,1588
141,16,-15.592,0,3,12,1,0,0,0.933,0.0189,1604
142,8,-15.033,0,4,4,1,0,0,0.933,0.0189,1612
143,7,-15.088,0,3,3,1,0,0,0.933,0.0189,1619
144,17,-15.848,0,5,11,1,0,0,0.932,0.0189,1636
145,10,-12.77,0,3,6,1,0,0,0.932,0.0188,1646
146,5,-14.772,0,4,2,1,0,0,0.931,0.0188,1651
147,10,-14.251,0,2,4,1,0,0,0.931,0.0188,1661
148,7,-13.282,0,1,5,1,0,0,0.93,0.0188,1668
149,7,-15.411,0,4,3,1,0,0,0.93,0.0188,1675
150,28,-16.53,0,2,16,1,0,0,0.929,0.0188,1703
151,9,-13.65,0,2,4,1,0,0,0.929,0.0188,1712
152,5,-14.767,0,4,2,1,0,0,0.928,0.0188,1717
153,52,-18.576,0,10,25,1,0,0,0.928,0.0188,1769
154,16,-15.185,0,3,8,1,0,0,0.927,0.0188,1785
155,6,-14.484,0,4,2,1,0,0,0.927,0.0188,1791
156,37,-15.784,0,7,14,1,0,0,0.926,0.0188,1828
157,13,-16.48,0,3,6,1,0,0,0.926,0.0188,1841
158,10,-14.535,0,2,4,1,0,0,0.925,0.0187,1851
159,7,-15.088,0,3,3,1,0,0,0.925,0.0187,1858
160,6,-14.689,0,2,5,1,0,0,0.924,0.0187,1864
161,20,-13.925,0,2,9,1,0,0,0.924,0.0187,1884
162,6,-12.978,0,3,3,1,0,0,0.924,0.0187,1890
163,14,-15.733,0,2,7,1,0,0,0.923,0.0187,1904
164,13,-16.139,0,2,7,1,0,0,0.923,0.0187,1917
165,5,-13.894,0,3,2,1,0,0,0.922,0.0187,1922
166,38,-13.435,0,3,14,1,0,0,0.922,0.0187,1960
167,6,-14.96,0,3,1,1,0,0,0.921,0.0187,1966
168,10,-9.978,0,2,2,1,0,0,0.921,0.0187,1976
169,5,-14.052,0,2,3,1,0,0,0.92,0.0187,1981
170,10,-12.61,0,3,4,1,0,0,0.92,0.0186,1991
171,5,-15.342,0,4,3,1,0,0,0.919,0.0186,1996
172,7,-14.523,0,3,4,1,0,0,0.919,0.0186,2003
173,11,-14.139,0,3,4,1,0,0,0.918,0.0186,2014
174,10,-15.276,0,2,5,1,0,0,0.918,0.0186,2024
175,13,-12.948,0,6,4,1,0,0,0.917,0.0186,2037
176,12,-13.093,0,1,5,1,0,0,0.917,0.0186,2049
177,7,-13.047,0,3,4,1,0,0,0.916,0.0186,2056
178,26,-15.699,0,5,13,1,0,0,0.916,0.0186,2082
179,15,-15.965,0,3,6,1,0,0,0.915,0.0186,2097
180,10,-15.997,0,3,6,1,0,0,0.915,0.0186,2107
181,18,-15.545,0,5,9,1,0,0,0.914,0.0186,2125
182,13,-14.934,0,2,4,1,0,0,0.914,0.0186,2138
183,8,-15.227,0,3,5,1,0,0,0.914,0.0185,2146
184,19,-14.171,0,5,6,1,0,0,0.913,0.0185,2165
185,8,-14.678,0,3,4,1,0,0,0.913,0.0185,2173
186,8,-13.616,0,3,2,1,0,0,0.912,0.0185,2181
187,12,-12.75,0,3,6,1,0,0,0.912,0.0185,2193
188,5,-14.867,0,3,2,1,0,0,0.911,0.0185,2198
189,5,-15.02,0,3,3,1,0,0,0.911,0.0185,2203
190,19,-14.415,0,5,9,1,0,0,0.91,0.0185,2222
191,10,-15.282,0,3,5,1,0,0,0.91,0.0185,2232
192,5,-14.836,0,3,1,1,0,0,0.909,0.0185,2237
193,8,-15.134,0,3,5,1,0,0,0.909,0.0185,2245
194,6,-13.235,0,3,2,1,0,0,0.908,0.0185,2251
195,20,-12.507,0,2,5,1,0,0,0.908,0.0184,2271
196,16,-14.805,0,5,5,1,0,0,0.907,0.0184,2287
197,7,-12.019,0,1,1,1,0,0,0.907,0.0184,2294
198,7,-14.935,0,3,2,1,0,0,0.906,0.0184,2301
199,10,-14.602,0,3,5,1,0,0,0.906,0.0184,2311
200,5,-14.735,0,4,1,1,0,0,0.905,0.0184,2316
