seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss
30034,34,4,our_agent,9,4,1,0,400,0,9,1,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",2,7,1,0,0
30035,35,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",4,-1,0,0,1
30036,36,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 5}",5,-3,0,0,1
30037,37,4,our_agent,5,5,0,0,400,0,8,2,1,"{""rule_based_agent_0"": 10, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",10,-5,0,0,1
30038,38,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,1,1,0,0
30039,39,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,0,0,1,0
30040,40,4,our_agent,15,5,2,0,400,0,9,2,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",2,13,1,0,0
30041,41,4,our_agent,6,1,1,0,400,0,8,1,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 2}",5,1,1,0,0
30042,42,4,our_agent,6,1,1,1,125,1,9,1,2,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",5,1,1,0,0
30043,43,4,our_agent,1,1,0,0,127,0,9,2,2,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 6}",9,-8,0,0,1
30044,44,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 11, ""rule_based_agent_2"": 0}",11,-10,0,0,1
30045,45,4,our_agent,5,0,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",5,0,0,1,0
30046,46,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,1,1,0,0
30047,47,4,our_agent,3,3,0,0,111,0,9,2,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 8}",8,-5,0,0,1
30048,48,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 3}",7,-5,0,0,1
30049,49,4,our_agent,1,1,0,0,400,0,9,2,2,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 8}",8,-7,0,0,1
30050,50,4,our_agent,2,2,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 4}",4,-2,0,0,1
30051,51,4,our_agent,0,0,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 9}",9,-9,0,0,1
30052,52,4,our_agent,5,5,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,2,1,0,0
30053,53,4,our_agent,4,4,0,0,301,0,9,1,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 7}",7,-3,0,0,1
30054,54,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 4}",4,-3,0,0,1
30055,55,4,our_agent,2,2,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,-1,0,0,1
30056,56,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 2}",8,-6,0,0,1
30057,57,4,our_agent,5,5,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,2,1,0,0
30058,58,4,our_agent,1,1,0,0,118,1,9,2,1,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 6}",9,-8,0,0,1
30059,59,4,our_agent,2,2,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",7,-5,0,0,1
30060,60,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 6}",6,-4,0,0,1
30061,61,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 5}",5,-2,0,0,1
30062,62,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",8,-7,0,0,1
30063,63,4,our_agent,0,0,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 3}",4,-4,0,0,1
30064,64,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",4,-3,0,0,1
30065,65,4,our_agent,0,0,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 5}",5,-5,0,0,1
30066,66,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",4,-2,0,0,1
30067,67,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 8}",8,-6,0,0,1
30068,68,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",8,-6,0,0,1
30069,69,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,0,0,1,0
30070,70,4,our_agent,6,1,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",4,2,1,0,0
30071,71,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,2,1,0,0
30072,72,4,our_agent,5,5,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",4,1,1,0,0
30073,73,4,our_agent,2,2,0,0,59,0,9,1,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 7}",7,-5,0,0,1
30074,74,4,our_agent,1,1,0,1,154,0,9,1,3,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 11, ""rule_based_agent_2"": 0}",11,-10,0,0,1
30075,75,4,our_agent,3,3,0,0,112,2,9,1,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 7}",7,-4,0,0,1
30076,76,4,our_agent,0,0,0,0,164,1,9,2,1,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 9}",9,-9,0,0,1
30077,77,4,our_agent,2,2,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-1,0,0,1
30078,78,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-2,0,0,1
30079,79,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,-1,0,0,1
30080,80,4,our_agent,3,3,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 2}",6,-3,0,0,1
30081,81,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-3,0,0,1
30082,82,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 9, ""rule_based_agent_2"": 2}",9,-7,0,0,1
30083,83,4,our_agent,2,2,0,0,400,1,9,1,0,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 4}",8,-6,0,0,1
30084,84,4,our_agent,1,1,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 0}",4,-3,0,0,1
30085,85,4,our_agent,0,0,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",5,-5,0,0,1
30086,86,4,our_agent,2,2,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",3,-1,0,0,1
30087,87,4,our_agent,1,1,0,0,109,0,9,2,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 7}",8,-7,0,0,1
30088,88,4,our_agent,2,2,0,0,400,1,9,1,1,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",9,-7,0,0,1
30089,89,4,our_agent,3,3,0,1,195,0,9,2,2,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 0}",9,-6,0,0,1
30090,90,4,our_agent,2,2,0,0,400,1,8,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",3,-1,0,0,1
30091,91,4,our_agent,7,2,1,0,400,0,9,2,1,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",9,-2,0,0,1
30092,92,4,our_agent,2,2,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 8}",8,-6,0,0,1
30093,93,4,our_agent,5,5,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",2,3,1,0,0
30094,94,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 2}",3,-2,0,0,1
30095,95,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,1,1,0,0
30096,96,4,our_agent,6,6,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 2}",6,0,0,1,0
30097,97,4,our_agent,2,2,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",4,-2,0,0,1
30098,98,4,our_agent,0,0,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",6,-6,0,0,1
30099,99,4,our_agent,13,3,2,0,238,0,9,3,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 8}",8,5,1,0,0
30100,100,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-2,0,0,1
30101,101,4,our_agent,0,0,0,0,400,1,7,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,-3,0,0,1
30102,102,4,our_agent,0,0,0,0,202,0,9,3,1,"{""rule_based_agent_0"": 14, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 2}",14,-14,0,0,1
30103,103,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 6}",6,-4,0,0,1
30104,104,4,our_agent,3,3,0,0,400,0,8,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",3,0,0,1,0
30105,105,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",5,-4,0,0,1
30106,106,4,our_agent,8,3,1,0,400,1,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 0}",5,3,1,0,0
30107,107,4,our_agent,1,1,0,0,400,0,8,0,2,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",4,-3,0,0,1
30108,108,4,our_agent,0,0,0,0,97,0,9,1,2,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 2}",6,-6,0,0,1
30109,109,4,our_agent,2,2,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 8}",8,-6,0,0,1
30110,110,4,our_agent,4,4,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",2,2,1,0,0
30111,111,4,our_agent,4,4,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 0}",7,-3,0,0,1
30112,112,4,our_agent,2,2,0,0,400,1,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 5}",6,-4,0,0,1
30113,113,4,our_agent,6,6,0,0,400,1,9,1,1,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",5,1,1,0,0
30114,114,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 6}",6,-5,0,0,1
30115,115,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 5}",5,-4,0,0,1
30116,116,4,our_agent,2,2,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 3}",6,-4,0,0,1
30117,117,4,our_agent,6,1,1,0,400,0,9,1,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 2}",5,1,1,0,0
30118,118,4,our_agent,5,5,0,0,400,2,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",2,3,1,0,0
30119,119,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,-1,0,0,1
30120,120,4,our_agent,7,2,1,0,400,0,9,2,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 9, ""rule_based_agent_2"": 2}",9,-2,0,0,1
30121,121,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 4}",4,-3,0,0,1
30122,122,4,our_agent,4,4,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 2}",7,-3,0,0,1
30123,123,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",3,0,0,1,0
30124,124,4,our_agent,1,1,0,0,113,0,9,1,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 6}",6,-5,0,0,1
