seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss
29049,49,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-3,0,0,1
29050,50,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 5}",5,-3,0,0,1
29051,51,4,our_agent,2,2,0,0,400,0,9,1,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",7,-5,0,0,1
29052,52,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 1}",3,0,0,1,0
29053,53,4,our_agent,3,3,0,0,180,1,9,3,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 13, ""rule_based_agent_2"": 8}",13,-10,0,0,1
29054,54,4,our_agent,3,3,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",3,0,0,1,0
29055,55,4,our_agent,1,1,0,0,400,2,9,1,1,"{""rule_based_agent_0"": 10, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",10,-9,0,0,1
29056,56,4,our_agent,1,1,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 3}",8,-7,0,0,1
29057,57,4,our_agent,1,1,0,0,400,0,7,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 1}",4,-3,0,0,1
29058,58,4,our_agent,1,1,0,0,83,0,9,2,2,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 9}",9,-8,0,0,1
29059,59,4,our_agent,8,3,1,0,400,1,9,1,0,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,4,1,0,0
29060,60,4,our_agent,9,4,1,0,400,1,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",3,6,1,0,0
29061,61,4,our_agent,7,2,1,0,400,0,9,1,0,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",4,3,1,0,0
29062,62,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 0}",4,0,0,1,0
29063,63,4,our_agent,1,1,0,0,400,0,9,2,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 9}",9,-8,0,0,1
