step,coin_distance,coin_actions,baseline_greedy,candidate_greedy,baseline_coin_probability,candidate_coin_probability,strict_coin_preference_loss,strict_coin_preference_gain,allowed_actions,driver,seed,actual_driver_action
86,3,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",candidate,28003,DOWN
16,3,['UP'],['UP'],['UP'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28003,UP
26,3,['RIGHT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'WAIT']",baseline,28003,WAIT
31,1,['UP'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['UP', 'WAIT']",baseline,28003,WAIT
41,4,['RIGHT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",baseline,28003,WAIT
56,9,['UP'],['UP'],['UP'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28003,UP
96,4,['LEFT'],['BOMB'],['BOMB'],0.0,0.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28003,BOMB
101,21,['UP'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['UP', 'WAIT']",baseline,28003,WAIT
16,4,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28004,DOWN
26,4,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28004,DOWN
56,5,['DOWN'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['UP', 'DOWN', 'WAIT']",baseline,28004,WAIT
156,22,['LEFT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",baseline,28004,WAIT
11,2,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28004,RIGHT
21,2,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28004,RIGHT
61,1,['LEFT'],['BOMB'],['BOMB'],0.0,0.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",candidate,28004,BOMB
71,2,['UP'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['UP', 'WAIT']",candidate,28004,WAIT
86,3,['UP'],['UP'],['UP'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",candidate,28004,UP
96,4,['LEFT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT']",candidate,28004,WAIT
106,10,['RIGHT'],['BOMB'],['BOMB'],0.0,0.0,False,False,"['RIGHT', 'DOWN', 'WAIT', 'BOMB']",candidate,28004,BOMB
151,4,"['UP', 'DOWN']",['UP'],['UP'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",candidate,28004,UP
51,24,['UP'],['DOWN'],['DOWN'],0.0,0.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28005,DOWN
76,30,"['RIGHT', 'DOWN']",['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'WAIT', 'BOMB']",baseline,28005,DOWN
86,5,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'WAIT', 'BOMB']",baseline,28005,DOWN
101,6,['LEFT'],['LEFT'],['LEFT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",baseline,28005,LEFT
106,16,['RIGHT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'WAIT']",baseline,28005,WAIT
111,5,"['DOWN', 'LEFT']",['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28005,DOWN
116,16,['RIGHT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'WAIT']",baseline,28005,WAIT
166,18,['RIGHT'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['RIGHT', 'WAIT']",baseline,28005,WAIT
31,1,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",baseline,28006,RIGHT
46,23,['DOWN'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['DOWN', 'WAIT']",baseline,28006,WAIT
51,2,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28006,DOWN
81,9,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['RIGHT', 'DOWN', 'LEFT', 'WAIT', 'BOMB']",baseline,28006,DOWN
96,10,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28006,DOWN
131,12,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28006,DOWN
301,4,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28006,RIGHT
311,4,['LEFT'],['LEFT'],['LEFT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28006,LEFT
11,1,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28007,RIGHT
51,3,['RIGHT'],['BOMB'],['BOMB'],0.0,0.0,False,False,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28007,BOMB
61,3,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['UP', 'RIGHT', 'LEFT', 'WAIT', 'BOMB']",candidate,28007,RIGHT
121,21,['UP'],['WAIT'],['WAIT'],0.0,0.0,False,False,"['UP', 'WAIT']",candidate,28007,WAIT
11,1,['UP'],['UP'],['UP'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28007,UP
26,3,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28007,DOWN
46,5,['DOWN'],['DOWN'],['DOWN'],1.0,1.0,False,False,"['UP', 'DOWN', 'WAIT', 'BOMB']",baseline,28007,DOWN
61,9,['RIGHT'],['RIGHT'],['RIGHT'],1.0,1.0,False,False,"['UP', 'RIGHT', 'LEFT', 'WAIT']",baseline,28007,RIGHT
66,28,['LEFT'],['RIGHT'],['LEFT'],0.0,1.0,False,True,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",baseline,28007,RIGHT
71,8,"['UP', 'LEFT']",['UP'],['UP'],1.0,1.0,False,False,"['UP', 'RIGHT', 'LEFT', 'WAIT']",baseline,28007,UP
76,18,['LEFT'],['RIGHT'],['LEFT'],0.0,1.0,False,True,"['RIGHT', 'LEFT', 'WAIT', 'BOMB']",baseline,28007,RIGHT
